Model,LOOCV_R2,LOOCV_MAE_pct,Train_R2,Overfit_Gap,LOOCV_MAE_M,LOOCV_RMSE_M
Linear Regression,0.9636363317552885,4.124684810296291,0.9987391812094405,0.035102849454151985,0.5348711691528777,0.0
Ridge (α=1),0.9200049654318699,5.3041559919484875,0.9873920906222702,0.06738712519040024,0.6878198570956828,0.0
Ridge (α=10),0.84991557129188,6.798953893440363,0.9412834204591468,0.09136784916726681,0.8816587412747615,0.0
Bagged Ridge,0.8019089525629016,7.725431294942915,0.8996525542891369,0.09774360172623531,1.001800297230353,0.0
