Model,LOOCV_R2,LOOCV_MAE_pct,Train_R2,Overfit_Gap,LOOCV_MAE_M,LOOCV_RMSE_M
Linear Regression,0.9726265679664733,3.5422203253854874,0.9987541294741076,0.02612756150763429,0.46430832185320137,0.0
Ridge (α=1),0.9698747338381737,3.614387617388947,0.9943416798062432,0.02446694596806953,0.4737678899107501,0.0
Ridge (α=10),0.857737042060659,7.379972837844187,0.9488701407608394,0.09113309870018038,0.9673545090080583,0.0
Bagged Ridge,0.8150432081241128,8.352711193636715,0.9104531480496209,0.09540993992550806,1.0948594274185526,0.0
